Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,BGM,Eye Clean,Lab,Report #,RapLab Report ID,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert Comment,Key to symbols,Member Comment,Star Length,Shade,White Inclusion,Black Inclusion,Open Inclusion,Milky,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Country,State,City,Brand,Seller Spec,Report Filename,Diamond Image,VideoLink,Sarine Loupe,Trade Show,Report Issue Date,Report Type,Lab Location,Pair Stock #,Is Matched Pair Separable,Allow RapLink Feed,Parcel Stones
506-126SCI,G,RBC,0.34,I,SI1,EX,EX,EX,N,N,4.49*4.46*2.77,No,E1,GIA,1403543738,,,1275.000,-25.000,1275.000,-25.000,62.00,56.00,,,4.00,Faceted,NONE,,15.00,35.00,42.50,40.60,GIA 1403543738,,"Twinning Wisp, Feather","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1403543738&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-506-126,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-506-126,,,,,,,,1,
511-684K,G,RBC,0.34,H,SI1,VG,EX,EX,N,N,4.53*4.51*2.74,No,YES,GIA,2406537253,,,1349.000,-29.000,1349.000,-29.000,60.60,61.00,,,4.00,Faceted,NONE,,13.50,34.50,43.00,41.00,GIA 2406537253,,"Twinning Wisp, Feather","NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2406537253&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-511-684,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-511-684,,,,,,,,1,
515-172CISI,G,RBC,0.34,G,SI1,EX,EX,EX,N,N,4.53*4.5*2.78,No,Borderline,GIA,1403536863,,,1440.000,-28.000,1440.000,-28.000,61.40,58.00,,,3.50,Faceted,NONE,,14.00,33.50,44.50,41.60,GIA 1403536863,,"Cloud, Crystal, Feather, Cavity","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1403536863&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-515-172,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-515-172,,,,,,,,1,
493-845K,G,RBC,0.40,D,VS2,VG,EX,VG,S,B,4.62*4.58*2.97,No,YES,GIA,1405539801,,,1545.000,-48.500,1545.000,-48.500,64.60,57.00,,,5.00,Faceted,NONE,,16.50,37.50,43.00,40.80,GIA 1405539801,,"Indented Natural, Crystal, Knot, Feather","NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1405539801&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-493-845,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-493-845,,,,,,,,1,
493-1068CISI,G,RBC,0.30,G,SI2,VG,VG,G,S,B,4.28*4.23*2.62,No,E1,GIA,2407571882,,,918.000,-46.000,918.000,-46.000,61.50,60.00,,,5.00,Faceted,NONE,,13.50,34.50,43.00,41.00,GIA 2407571882,,Feather,"NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2407571882&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-493-1068,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-493-1068,,,,,,,,1,
505-669SI,G,RBC,0.30,E,SI2,VG,VG,EX,F,N,4.3*4.28*2.6,No,E1,GIA,6402565348,,,1159.000,-39.000,1159.000,-39.000,60.60,58.00,,,4.00,Faceted,VERY SMALL,,15.00,35.00,41.50,40.00,GIA 6402565348,,"Feather, Twinning Wisp","NO BGM,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6402565348&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-505-669,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-505-669,,,,,,,,1,
480-1227SI,G,RBC,0.54,E,VS1,EX,EX,EX,N,N,5.23*5.21*3.24,No,YES,GIA,1405412174,,,3404.000,-26.000,3404.000,-26.000,62.10,57.00,,,3.50,Faceted,NONE,,15.50,36.50,43.00,40.80,GIA 1405412174,,"Crystal, Feather, Etch Channel, Needle","NO BGM,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1405412174&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-480-1227,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-480-1227,,,,,,,,1,
21E-045CSI,G,CU,1.01,F,SI2,,VG,EX,N,N,5.93*5.66*3.34,No,Borderline,GIA,2404598055,,,2350.000,-53.000,2350.000,-53.000,59.10,67.00,,,,Faceted,NONE,,,,,,GIA 2404598055,Additional clouds are not shown. Pinpoints are not shown.,"Feather, Crystal, Cloud, Needle, Natural","NO BGM,TABLE MEDIUM BLACK,SIDE SMALL BLACK",,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2404598055&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=,,,,,,,,1,
499-459CIS,G,RBC,0.30,E,SI2,EX,VG,VG,S,B,4.4*4.37*2.59,No,E1,GIA,2406597049,,,1026.000,-46.000,1026.000,-46.000,59.10,59.00,,,3.00,Faceted,NONE,,13.00,33.00,43.00,40.80,GIA 2406597049,,"Feather, Cloud, Crystal","NO BGM,TABLE SMALL BLACK,SIDE MEDIUM BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2406597049&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-499-459,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-499-459,,,,,,,,1,
505-592K,G,RBC,0.30,I,SI1,VG,EX,VG,F,N,4.28*4.25*2.61,No,Borderline,GIA,6401596936,,,1156.000,-32.000,1156.000,-32.000,61.30,63.00,,,4.50,Faceted,NONE,,13.00,35.00,43.50,41.20,GIA 6401596936,,Feather,"NO BGM,NO BLACK",55,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6401596936&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-505-592,https://skrishna.co/DiamondDetail/DiamondDetail?stoneno=21-505-592,,,,,,,,1,
