Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,BGM,Eye Clean,Lab,Report #,RapLab Report ID,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert Comment,Key to symbols,Member Comment,Star Length,Shade,White Inclusion,Black Inclusion,Open Inclusion,Milky,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Country,State,City,Brand,Seller Spec,Report Filename,Diamond Image,VideoLink,Sarine Loupe,Trade Show,Report Issue Date,Report Type,Lab Location,Pair Stock #,Is Matched Pair Separable,Allow RapLink Feed,Parcel Stones
397-333K,G,R,0.30,F,SI2,EX,EX,VG,N,N,4.29*0.00*2.68,No,E1,GIA,6391464182,,,1071.000,-37.000,1071.000,-37.000,62.70,57.00,,,4.00,Faceted,NONE,,15.00,35.00,43.50,41.20,GIA 6391464182,,Feather,"NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6391464182&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/397-333K/397-333K.html,,,,,,,,1,
397-372K,G,R,0.30,D,SI1,EX,EX,EX,N,N,4.38*0.00*2.62,No,Borderline,GIA,6391464189,,,1496.000,-32.000,1496.000,-32.000,59.60,57.00,,,3.00,Faceted,NONE,,14.00,33.00,43.00,40.80,GIA 6391464189,,"Crystal, Feather","NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6391464189&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/397-372K/397-372K.html,,,,,,,,1,
397-440SI,G,R,0.30,E,SI1,EX,VG,VG,N,N,4.28*0.00*2.64,No,YES,GIA,1395461230,,,1302.000,-38.000,1302.000,-38.000,61.60,57.00,,,4.00,Faceted,NONE,,14.50,34.00,43.50,41.20,GIA 1395461230,,"Crystal, Feather","NO BGM,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1395461230&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/397-440SI/397-440SI.html,,,,,,,,1,
397-1066S,G,R,0.30,D,SI1,VG,EX,VG,M,B,4.34*0.00*2.55,No,Borderline,GIA,6392466286,,,1188.000,-46.000,1188.000,-46.000,58.60,60.00,,,4.00,Faceted,VERY SMALL,,13.00,33.00,42.00,40.20,GIA 6392466286,,"Crystal, Feather","NO BGM,SIDE MEDIUM BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6392466286&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/397-1066S/397-1066S.html,,,,,,,,1,
397-1117CISI,G,R,0.30,D,SI1,EX,VG,VG,N,N,4.29*0.00*2.63,No,Borderline,GIA,1393466898,,,1386.000,-37.000,1386.000,-37.000,61.20,61.00,,,4.00,Faceted,NONE,,13.50,34.50,44.00,41.40,GIA 1393466898,,"Cloud, Feather","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1393466898&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/397-1117CISI/397-1117CISI.html,,,,,,,,1,
397-1333K,G,R,0.30,D,VS2,VG,EX,VG,N,N,4.22*0.00*2.71,No,YES,GIA,2394466911,,,1368.000,-43.000,1368.000,-43.000,64.10,55.00,,,5.00,Faceted,NONE,,15.00,34.00,44.00,41.40,GIA 2394466911,,"Cavity, Feather","NO BGM,NO BLACK",45,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2394466911&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/397-1333K/397-1333K.html,,,,,,,,1,
395-686CISI,G,R,0.30,D,SI1,VG,EX,VG,N,N,4.19*4.23*2.68,No,Borderline,GIA,1395464121,,,1364.000,-38.000,1364.000,-38.000,63.60,56.00,,,4.50,Faceted,NONE,,17.00,37.50,42.50,40.40,GIA 1395464121,,"Cloud, Crystal, Indented Natural, Cavity","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1395464121&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/395-686CISI/395-686CISI.html,,,,,,,,1,
395-810SCI,G,R,0.30,D,SI2,EX,VG,VG,N,N,4.31*4.33*2.64,No,E1,GIA,2396466156,,,1178.000,-38.000,1178.000,-38.000,61.10,58.00,,,3.50,Faceted,NONE,,14.00,34.00,43.50,41.00,GIA 2396466156,,"Twinning Wisp, Feather","NO BGM,TABLE SMALL BLACK,SIDE MEDIUM BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2396466156&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/395-810SCI/395-810SCI.html,,,,,,,,1,
395-89CS,G,R,0.30,D,SI1,VG,VG,VG,F,N,4.32*0.00*2.60,No,Borderline,GIA,2394466299,,,1320.000,-40.000,1320.000,-40.000,60.10,60.00,,,3.50,Faceted,NONE,,13.50,34.50,42.50,40.60,GIA 2394466299,,Twinning Wisp,"NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=2394466299&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/395-89CS/395-89CS.html,,,,,,,,1,
397-1021S,G,R,0.30,E,SI2,EX,VG,VG,N,N,4.26*4.32*2.64,No,E1,GIA,6392466440,,,1116.000,-38.000,1116.000,-38.000,61.60,58.00,,,4.50,Faceted,NONE,,13.50,32.00,44.00,41.40,GIA 6392466440,,"Knot, Crystal, Cloud","NO BGM,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6392466440&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/397-1021S/397-1021S.html,,,,,,,,1,
395-1760K,G,R,0.30,D,VS2,EX,EX,VG,N,N,4.32*0.00*2.63,No,Borderline,GIA,3395466865,,,1392.000,-42.000,1392.000,-42.000,61.00,59.00,,,4.00,Faceted,NONE,,14.00,33.50,43.50,41.00,GIA 3395466865,,"Feather, Cavity","NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=3395466865&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/395-1760K/395-1760K.html,,,,,,,,1,
395-179SIGI,G,R,0.30,G,SI1,EX,EX,EX,F,N,4.29*0.00*2.68,Yes,E1,GIA,1393466833,,,1159.000,-39.000,1159.000,-39.000,62.40,56.00,,,3.50,Faceted,NONE,,16.00,36.00,43.00,40.60,GIA 1393466833,,"Cloud, Feather, Crystal","LIGHT GREEN,NO MILKY,SIDE SMALL BLACK",45,Green,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1393466833&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/395-179SIGI/395-179SIGI.html,,,,,,,,1,
395-194SIBI,G,R,0.30,G,SI1,VG,EX,VG,N,N,4.26*0.00*2.70,Yes,Borderline,GIA,7398461950,,,1121.000,-41.000,1121.000,-41.000,63.60,57.00,,,4.00,Faceted,NONE,,15.50,35.50,44.00,41.40,GIA 7398461950,,"Crystal, Feather","LIGHT BROWN,NO MILKY,SIDE SMALL BLACK",50,Brown,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7398461950&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/395-194SIBI/395-194SIBI.html,,,,,,,,1,
395-476SCI,G,R,0.30,E,SI2,VG,EX,VG,N,N,4.17*4.24*2.70,No,E1,GIA,1393462013,,,1080.000,-40.000,1080.000,-40.000,64.20,59.00,,,5.00,Faceted,NONE,,15.00,36.00,44.00,41.60,GIA 1393462013,,"Crystal, Cloud, Feather","NO BGM,TABLE SMALL BLACK,SIDE MEDIUM BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1393462013&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/395-476SCI/395-476SCI.html,,,,,,,,1,
395-638MI,G,R,0.30,H,SI2,EX,EX,VG,F,N,4.29*0.00*2.63,Yes,E1,GIA,1395461994,,,840.000,-44.000,840.000,-44.000,61.30,59.00,,,4.50,Faceted,NONE,,14.00,34.50,42.50,40.60,GIA 1395461994,,"Feather, Cloud","NO BROWN, NO GREEN,LIGHT MILKY,NO BLACK",50,None,,,,M1,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=1395461994&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/395-638MI/395-638MI.html,,,,,,,,1,
395-1536CISI,G,R,0.30,G,SI2,EX,EX,VG,N,N,4.34*0.00*2.62,No,E1,GIA,6395466845,,,1040.000,-35.000,1040.000,-35.000,60.30,61.00,,,4.00,Faceted,NONE,,13.50,34.00,43.00,40.80,GIA 6395466845,,"Crystal, Cloud, Needle","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6395466845&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/395-1536CISI/395-1536CISI.html,,,,,,,,1,
395-1572CIS,G,R,0.30,E,SI2,EX,VG,EX,N,N,4.30*0.00*2.65,No,E1,GIA,6395466931,,,1116.000,-38.000,1116.000,-38.000,61.60,59.00,,,3.50,Faceted,NONE,,15.00,35.50,43.00,41.00,GIA 6395466931,,"Crystal, Feather, Cloud","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6395466931&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/395-1572CIS/395-1572CIS.html,,,,,,,,1,
395-1645K,G,R,0.30,D,SI2,EX,EX,VG,N,N,4.33*0.00*2.61,No,Borderline,GIA,5393466944,,,1178.000,-38.000,1178.000,-38.000,60.20,62.00,,,4.00,Faceted,NONE,,13.00,33.50,43.50,41.20,GIA 5393466944,,"Knot, Feather","NO BGM,NO BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=5393466944&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/395-1645K/395-1645K.html,,,,,,,,1,
395-1650CI,G,R,0.30,D,VS1,VG,VG,VG,N,N,4.29*0.00*2.60,No,YES,GIA,7398466954,,,1456.000,-44.000,1456.000,-44.000,60.70,60.00,,,4.00,Faceted,NONE,,15.00,36.50,42.00,40.20,GIA 7398466954,,"Crystal, Feather, Pinpoint","NO BGM,TABLE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=7398466954&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/395-1650CI/395-1650CI.html,,,,,,,,1,
395-1208SC,G,R,0.30,E,SI1,EX,EX,VG,N,N,4.39*0.00*2.60,No,Borderline,GIA,6391464236,,,1302.000,-38.000,1302.000,-38.000,59.40,61.00,,,3.50,Faceted,NONE,,12.50,33.00,43.50,41.00,GIA 6391464236,,"Crystal, Feather","NO BGM,TABLE SMALL BLACK,SIDE SMALL BLACK",50,None,,,,None,,,,MUMBAI,,,,,http://www.gia.edu/cs/Satellite?reportno=6391464236&childpagename=GIA%2FPage%2FReportCheck&pagename=GIA%2FDispatcher&c=Page&cid=1355954554547,,http://login.skrishna.co/StoneVideo/395-1208SC/395-1208SC.html,,,,,,,,1,
