Stock #,Availability,Shape,CARAT,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Lab,Certificate #,Treatment,RapNet Price,Rapnet  Discount %,Cash Price,Cash Price Discount %,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Comment,Country,NR PPC,NR TOTAL
225-175A,G,RBC,0.33,"K,FB",VS1,EX,EX,EX,F,N,4.43 - 4.41 * 2.76,GIA,1357097409,,624.000,48.000,648.00,46.000,"K,FB",,,62.30,57.00,,,3.50,Faceted,NON,,16.00,36.50,42.50,40.60,GIA 1357097409,,MUMBAI,624.000,205.920
225-168A,G,RBC,0.73,K,SI1,EX,EX,EX,F,N,5.81 - 5.77 * 3.52,GIA,6351098728,,1587.000,31.000,1633.00,29.000,,,,60.90,60.00,,,4.50,Faceted,NON,,13.50,34.00,43.00,40.80,GIA 6351098728,,MUMBAI,1587.000,1158.510
233-71A,G,OV,1.30,J,SI1,VG,EX,VG,N,N,7.92 - 6.12 * 3.95,GIA,5343723391,,2278.000,33.000,2346.00,31.000,,,,64.60,53.00,,,,Faceted,NON,,,,,,GIA 5343723391,,MUMBAI,2278.000,2961.400
227-92A,G,RBC,0.32,H,SI1,EX,EX,EX,N,N,4.39 - 4.38 * 2.76,GIA,6342782838,,1056.000,34.000,1088.00,32.000,,,,62.90,56.00,,,3.50,Faceted,NON,,16.00,36.00,43.50,41.00,GIA 6342782838,,MUMBAI,1056.000,337.920
225-89A,G,EM,0.80,J,SI2,EX,EX,VG,N,N,5.89 - 4.46 * 3.11,GIA,5353092324,,940.000,53.000,980.00,51.000,,,,69.70,63.00,,,,Faceted,NON,,,,,,GIA 5353092324,,MUMBAI,940.000,752.000
235-32B,G,EM,0.35,I,VS2,EX,EX,VG,S,B,4.64 - 3.51 * 2.38,GIA,6352026950,,684.000,43.000,708.00,41.000,,,,67.70,63.00,,,,Faceted,NON,,,,,,GIA 6352026950,,MUMBAI,684.000,239.400
232-20A,G,RBC,0.25,D,VVS1,EX,EX,EX,N,N,4.04 - 4.01 * 2.52,GIA,7353161307,,1658.500,-7.000,1689.50,-9.000,,,,62.60,57.00,,,3.50,Faceted,NON,,15.50,36.00,43.50,41.20,GIA 7353161307,,MUMBAI,1658.500,414.630
227-64A,G,PB,0.70,F,SI2,EX,EX,VG,N,N,7.67 - 4.94 * 2.97,GIA,6342812424,,1512.000,46.000,1568.00,44.000,,,,60.20,56.00,,,,Faceted,NON,,,,,,GIA 6342812424,,MUMBAI,1512.000,1058.400
229-237A,G,RBC,0.30,L,VS2,EX,EX,EX,F,N,4.32 - 4.30 * 2.67,GIA,1353143770,,660.000,45.000,684.00,43.000,,,,62.00,59.00,,,3.50,Faceted,NON,,14.00,34.00,44.50,41.80,GIA 1353143770,,MUMBAI,660.000,198.000
228-90A,G,RBC,0.30,G,SI1,EX,EX,VG,F,N,4.29 - 4.26 * 2.69,GIA,2346954915,,1088.000,36.000,1122.00,34.000,,,,62.80,55.00,,,3.50,Faceted,NON,,17.00,36.50,43.00,40.60,GIA 2346954915,,MUMBAI,1088.000,326.400
